CODE	LOGCOST	OUTPUT	PLANES	WAGES	FUEL	MATERIAL	STGLEN	LOADF	DBTWGT	BNKDBT	VRTBL	VRTBLE	MGRSHR	FCFPCT	TIME	SUBJECT
AM70	14.03332	15.54246	6.85283	2.6295	-2.21841	2.33015	690.20001	0.509	0.76348	0.29233	0.39669	0.00138	0.00349	0.13401	1	1
AM71	14.07693	15.60367	6.75684	2.68056	-2.1847	2.42306	706.20001	0.498	0.6523	0.2662	0.27556	0.00109	0.00396	0.14344	2	1
AM72	14.17222	15.66135	6.82673	2.77548	-2.18229	2.57548	731.09998	0.534	0.6598	0.2949	0.26819	0.00067	0.00248	0.15156	3	1
AM73	14.28437	15.68655	6.81856	2.81708	-2.08416	2.69923	728.20001	0.53	0.67916	0.32206	0.29365	0.00073	0.00249	0.1321	4	1
AM74	14.38406	15.5738	6.93127	2.90194	-1.60677	2.85721	769.20001	0.581	0.65728	0.21962	0.36366	0.0013	0.00356	0.17808	5	1
AM75	14.47839	15.62369	7.00373	3.01655	-1.30594	2.9234	773.29999	0.569	0.6624	0.21391	0.38194	0.00118	0.00308	0.1403	6	1
AM76	14.59084	15.62872	7.0887	3.09093	-1.3141	3.05528	776	0.585	0.64432	0.22631	0.4141	0.00134	0.00323	0.18554	7	1
AM77	14.7138	15.68627	7.09352	3.15552	-1.13093	3.07402	779.40002	0.589	0.6632	0.20291	0.35957	0.00096	0.00267	0.15745	8	1
AM78	14.87324	15.74058	7.31334	3.2583	-0.93704	3.15909	799.79999	0.637	0.73925	0.14985	0.27445	0.00055	0.00199	0.13228	9	1
AM79	15.08499	15.80825	7.45484	3.36934	-0.54365	3.31868	883	0.674	0.7531	0.09556	0.20698	0.00055	0.00264	0.08484	10	1
AM80	15.24497	15.74549	7.56269	3.4696	-0.1176	3.42693	927.09998	0.604	0.78795	0.16738	0.09451	0.00022	0.00236	0.05115	11	1
BR70	12.72803	14.21874	6.64457	2.5189	-2.21303	2.47319	482	0.477	0.77745	0.33849	0	0	0.00862	0.10118	1	2
BR71	12.68019	14.13578	6.46629	2.49664	-2.16845	2.50417	475	0.479	0.73828	0.26545	0	0	0.01038	0.14198	2	2
BR72	12.78449	14.19826	6.59436	3.20098	-2.19979	3.17597	488.79999	0.494	0.7204	0.38991	0	0	0.00933	0.13058	3	2
BR73	12.89041	14.26606	6.53187	3.21898	-2.14079	3.14514	504.79999	0.502	0.721	0.29679	0	0	0.00616	0.1319	4	2
BR74	13.13781	14.37871	6.5722	3.04388	-1.61003	3.14665	516	0.499	0.68848	0.38799	0	0	0.00769	0.1473	5	2
BR75	13.25224	14.42979	6.67115	2.86301	-1.47108	3.00286	528.09998	0.493	0.68685	0.45229	0	0	0.00542	0.14532	6	2
BR76	13.39493	14.48352	6.84081	2.99418	-1.12167	3.07538	542	0.511	0.66932	0.1134	0	0	0.00525	0.15575	7	2
BR77	13.51356	14.57472	6.69235	3.09105	-0.99393	3.15925	554.40002	0.508	0.66398	0.0507	0	0	0.00433	0.16793	8	2
